ID,Latitude,Longitude,Altitude
133,"-29,6646216000","-50,5894033000","30,821"
134,"-29,6651105000","-50,5899900000","30,822"
135,"-29,6682396000","-50,5920434000","30,825"
136,"-29,6633504000","-50,5869587000","30,826"
137,"-29,6633504000","-50,5868609000","30,826"
138,"-29,6645238000","-50,5891099000","30,826"
139,"-29,6669684000","-50,5914567000","30,838"
140,"-29,6652083000","-50,5900878000","30,848"
141,"-29,6703909000","-50,5923368000","30,848"
142,"-29,6638393000","-50,5875454000","30,851"
143,"-29,6657950000","-50,5910656000","30,854"
144,"-29,6654039000","-50,5902833000","30,854"
145,"-29,6653061000","-50,5901855000","30,856"
146,"-29,6641327000","-50,5881321000","30,859"
147,"-29,6671640000","-50,5917501000","30,860"
148,"-29,6642304000","-50,5884254000","30,862"
149,"-29,6700975000","-50,5921412000","30,864"
150,"-29,6643282000","-50,5886210000","30,868"
151,"-29,6640349000","-50,5879365000","30,872"
152,"-29,6635460000","-50,5871542000","30,873"
153,"-29,6659906000","-50,5908700000","30,874"
154,"-29,6637415000","-50,5874476000","30,878"
155,"-29,6674573000","-50,5918479000","30,879"
156,"-29,6698042000","-50,5920434000","30,880"
157,"-29,6639371000","-50,5876431000","30,882"
158,"-29,6632526000","-50,5866653000","30,883"
159,"-29,6677507000","-50,5917501000","30,884"
160,"-29,6640349000","-50,5878387000","30,886"
161,"-29,6675551000","-50,5916523000","30,890"
162,"-29,6639371000","-50,5877409000","30,891"
163,"-29,6655016000","-50,5903811000","30,894"
164,"-29,6636437000","-50,5872520000","30,897"
165,"-29,6696086000","-50,5919457000","30,898"
166,"-29,6664795000","-50,5914567000","30,908"
167,"-29,6672618000","-50,5915545000","30,909"
168,"-29,6644260000","-50,5890121000","30,910"
169,"-29,6665773000","-50,5912612000","30,912"
170,"-29,6647194000","-50,5895010000","30,916"
171,"-29,6632526000","-50,5867631000","30,917"
172,"-29,6645238000","-50,5892077000","30,921"
173,"-29,6649149000","-50,5898922000","30,924"
174,"-29,6693152000","-50,5920434000","30,930"
175,"-29,6648172000","-50,5895988000","30,937"
176,"-29,6631548000","-50,5864697000","30,942"
177,"-29,6642304000","-50,5883276000","30,942"
178,"-29,6646216000","-50,5893055000","30,945"
179,"-29,6695108000","-50,5922390000","30,949"
180,"-29,6641327000","-50,5882298000","30,952"
181,"-29,6643282000","-50,5887188000","30,957"
182,"-29,6637415000","-50,5873498000","30,962"
183,"-29,6636437000","-50,5873498000","30,962"
184,"-29,6670662000","-50,5914567000","30,963"
185,"-29,6655016000","-50,5905767000","30,971"
186,"-29,6640349000","-50,5877409000","30,976"
187,"-29,6638393000","-50,5874476000","30,986"
188,"-29,6649149000","-50,5896966000","30,987"
189,"-29,6689241000","-50,5920434000","30,988"
190,"-29,6683374000","-50,5920434000","30,991"
191,"-29,6690219000","-50,5920434000","30,991"
192,"-29,6692174000","-50,5920434000","30,993"
193,"-29,6661861000","-50,5909678000","31,000"
194,"-29,6688263000","-50,5920434000","31,001"
195,"-29,6686307000","-50,5920434000","31,002"
196,"-29,6691197000","-50,5920434000","31,004"
197,"-29,6641327000","-50,5879365000","31,004"
198,"-29,6666751000","-50,5912612000","31,005"
199,"-29,6697064000","-50,5922390000","31,008"
200,"-29,6642304000","-50,5885232000","31,009"
201,"-29,6643282000","-50,5885232000","31,010"
202,"-29,6673595000","-50,5915545000","31,011"
203,"-29,6642304000","-50,5882298000","31,013"
204,"-29,6635460000","-50,5870564000","31,018"
205,"-29,6650127000","-50,5897944000","31,019"
206,"-29,6687285000","-50,5920434000","31,028"
207,"-29,6695108000","-50,5919457000","31,035"
208,"-29,6647194000","-50,5894033000","31,036"
209,"-29,6630570000","-50,5861764000","31,037"
210,"-29,6668706000","-50,5913589000","31,040"
211,"-29,6630570000","-50,5860786000","31,041"
212,"-29,6651105000","-50,5898922000","31,044"
213,"-29,6644260000","-50,5889143000","31,045"
214,"-29,6644260000","-50,5888166000","31,045"
215,"-29,6652083000","-50,5899900000","31,047"
216,"-29,6676529000","-50,5916523000","31,048"
217,"-29,6654039000","-50,5901855000","31,052"
218,"-29,6685330000","-50,5920434000","31,059"
219,"-29,6702931000","-50,5922390000","31,061"
220,"-29,6642304000","-50,5881321000","31,064"
221,"-29,6655016000","-50,5902833000","31,064"
222,"-29,6657950000","-50,5907722000","31,065"
223,"-29,6657950000","-50,5906745000","31,065"
224,"-29,6653061000","-50,5900878000","31,066"
225,"-29,6630570000","-50,5862742000","31,066"
226,"-29,6636437000","-50,5871542000","31,071"
227,"-29,6677507000","-50,5919457000","31,077"
228,"-29,6648172000","-50,5897944000","31,080"
229,"-29,6640349000","-50,5876431000","31,081"
230,"-29,6641327000","-50,5878387000","31,084"
231,"-29,6671640000","-50,5914567000","31,085"
232,"-29,6655994000","-50,5903811000","31,089"
233,"-29,6667728000","-50,5912612000","31,092"
234,"-29,6699019000","-50,5920434000","31,098"
235,"-29,6646216000","-50,5892077000","31,105"
236,"-29,6648172000","-50,5895010000","31,106"
237,"-29,6674573000","-50,5915545000","31,107"
238,"-29,6634482000","-50,5867631000","31,108"
239,"-29,6646216000","-50,5895988000","31,108"
240,"-29,6637415000","-50,5872520000","31,109"
241,"-29,6696086000","-50,5922390000","31,111"
242,"-29,6680440000","-50,5918479000","31,111"
243,"-29,6678485000","-50,5917501000","31,114"
244,"-29,6645238000","-50,5890121000","31,118"
245,"-29,6684352000","-50,5920434000","31,122"
246,"-29,6681418000","-50,5919457000","31,123"
247,"-29,6643282000","-50,5884254000","31,124"
248,"-29,6663817000","-50,5910656000","31,131"
249,"-29,6630570000","-50,5859808000","31,132"
250,"-29,6704886000","-50,5924346000","31,134"
251,"-29,6642304000","-50,5880343000","31,134"
252,"-29,6658928000","-50,5907722000","31,138"
253,"-29,6658928000","-50,5906745000","31,138"
254,"-29,6645238000","-50,5895010000","31,140"
255,"-29,6669684000","-50,5916523000","31,143"
256,"-29,6647194000","-50,5893055000","31,147"
257,"-29,6638393000","-50,5873498000","31,150"
258,"-29,6631548000","-50,5855897000","31,152"
259,"-29,6669684000","-50,5913589000","31,153"
260,"-29,6649149000","-50,5895988000","31,162"
261,"-29,6644260000","-50,5887188000","31,173"
262,"-29,6639371000","-50,5874476000","31,174"
263,"-29,6675551000","-50,5915545000","31,175"
264,"-29,6647194000","-50,5896966000","31,176"
265,"-29,6641327000","-50,5877409000","31,176"
266,"-29,6680440000","-50,5920434000","31,182"
267,"-29,6672618000","-50,5914567000","31,184"
268,"-29,6697064000","-50,5919457000","31,185"
269,"-29,6667728000","-50,5915545000","31,192"
270,"-29,6640349000","-50,5875454000","31,193"
271,"-29,6646216000","-50,5891099000","31,199"
272,"-29,6643282000","-50,5883276000","31,201"
273,"-29,6640349000","-50,5880343000","31,202"
274,"-29,6694130000","-50,5919457000","31,203"
275,"-29,6642304000","-50,5879365000","31,204"
276,"-29,6665773000","-50,5911634000","31,212"
277,"-29,6644260000","-50,5891099000","31,213"
